x1,y1,x2,y2,page,file
305.2512,546.7890141,539.19864,556.2690141,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.2512,557.7668541,540.4974,567.2468541,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.2512,568.7446941,543.26556,578.2246941,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
331.39704,370.7454141,370.43568,380.2405251,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
376.22796,502.7449341,424.18728,512.2400451,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
129.5627123,718.9832683,306,638.1429111,5,"/Users/fcac/Dropbox/Mendeley Organized Folder/Unknown, Unknown(3).pdf"
190.4851738,340.7998949,475.7860762,350.2644949,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,327.8712513,475.7955408,337.3358513,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,314.8858201,475.7766116,324.3504201,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,301.9571765,331.7253996,311.4217765,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
81.80872746,379.2512785,387.0330351,389.0914785,102,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,367.7313564,387.2426313,377.5715564,102,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,356.2114343,331.6090926,366.0516343,102,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
271.4453622,418.5421193,475.8050054,428.0067193,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,405.5566881,475.767147,415.0212881,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,392.6280445,475.7955408,402.0926445,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
163.9559,379.6426133,331.4887846,389.1072133,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Yilmaz, Seifert, 2011.pdf"
66.6715478,102.4627051,372.9753254,112.3029051,19,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
66.6715478,90.94278296,372.9231723,100.782983,19,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
66.6715478,79.42286082,373.1209603,89.26306082,19,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
66.6715478,67.90293868,299.6363148,78.05456479,19,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
137.838,602.5523654,386.641,612.5523654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
54.9,590.6123654,114.394,600.6123654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
54.9,572.3578886,386.586,582.6723654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
64.86,560.7023654,135.286,570.7023654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
54.9,544.4578886,322.221,554.7723654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
54.9,528.5278886,386.379,538.8423654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
64.86,516.8723654,255.861,526.8723654,72,"/Users/fcac/Dropbox/Mendeley Organized Folder/Pahl et al., 2007.pdf"
149.4991412,150.005859,385.4673012,159.9684587,158,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.86017625,138.043765,385.4653084,148.0063648,158,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.86017625,126.0816711,253.1041968,136.0442709,158,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
65.81423593,143.4297579,385.5040995,153.3923576,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214201,131.4676639,385.4682342,141.4302637,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214201,119.50557,385.4572751,129.4681698,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214181,107.5434761,385.4642483,117.5060759,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214181,95.58138218,385.4742108,105.5439819,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214181,83.61928827,385.429379,93.58188802,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
53.85214181,71.71398107,201.1601379,81.67658082,161,"/Users/fcac/Dropbox/Mendeley Organized Folder/Lindemann, 2014.pdf"
66.6715478,413.8100609,387.3331612,423.6502609,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,402.2911228,387.1393092,412.1313228,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,390.7712007,387.2032705,400.6114007,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,379.2512785,386.9543135,389.0914785,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,367.7313564,387.2396793,377.5715564,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,356.2114343,387.0842041,366.0516343,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,344.380086,387.3164328,354.5317121,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,333.4116909,387.3587457,343.2518909,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,321.8917687,387.1707979,331.7319687,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,310.3718466,387.177686,320.2120466,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,298.8519244,387.2878963,308.6921244,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
52.5115,287.3320023,314.0738562,297.1722023,38,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cross, 2006.pdf"
